chr	start	end	isoID	strand	exon_start	exon_end	len	start_type	end_type	geneName	detail_type	type
chr1	212515530	212522584	chr1|212515530,212519145,212520689,212521731,212522531|212515622,212519275,212520748,212521839,212522584	+	212515530,212519145,212520689,212521731,212522531	212515622,212519275,212520748,212521839,212522584	447	m,m,m,m,m	m,m,m,m,m	PPP2R5A	full match	full match
chr1	23366752	23370979	chr1|23366752,23370920|23366927,23370979	+	23366752,23370920	23366927,23370979	236	intron,m	intron,m	KDM1A	cryptic exon	cryptic exon
chr5	179044990	179045324	chr5|179044990,179045146|179045061,179045324	-	179044990,179045146	179045061,179045324	251	m,m	m,m	HNRNPH1	full match	full match
chr17	57650477	57652832	chr17|57650477,57651101,57651549,57652701|57650596,57651328,57651615,57652832	+	57650477,57651101,57651549,57652701	57650596,57651328,57651615,57652832	547	m,m,m,m	m,m,m,m	DHX40	full match	full match
chr13	28840852	28845003	chr13|28840852,28841232,28841437,28844838|28841013,28841348,28841538,28845003	+	28840852,28841232,28841437,28844838	28841013,28841348,28841538,28845003	547	m,m,m,m	m,m,m,m	PAN3	full match	full match
chr7	80418622	80435074	chr7|80418622,80427408,80430073,80431981,80433422,80434955|80418844,80427552,80430142,80432095,80433564,80435074	-	80418622,80427408,80430073,80431981,80433422,80434955	80418844,80427552,80430142,80432095,80433564,80435074	816	m,m,m,m,m,m	m,m,m,m,m,m	SEMA3C	full match	full match
chr3	100057931	100060005	chr3|100057931,100058659,100059917|100058049,100058779,100060005	+	100057931,100058659,100059917	100058049,100058779,100060005	329	m,m,m	m,m,m	NIT2	full match	full match
chr8	99718695	99761618	chr8|99718695,99719375,99761504|99718862,99719539,99761618	-	99718695,99719375,99761504	99718862,99719539,99761618	448	m,m,m	m,m,m	STK3	full match	full match
chr14	102467291	102469302	chr14|102467291,102467482,102467872,102468874,102469129|102467401,102467691,102468018,102469040,102469302	+	102467291,102467482,102467872,102468874,102469129	102467401,102467691,102468018,102469040,102469302	809	m,m,m,m,m	m,m,m,m,m	DYNC1H1	full match	full match
chr2	198358048	198360100	chr2|198358048,198358881,198359381,198360018|198358216,198358974,198359476,198360100	-	198358048,198358881,198359381,198360018	198358216,198358974,198359476,198360100	442	m,m,m,m	m,m,m,m	HSPD1	full match	full match
chr6	47494364	47512442	chr6|47494364,47501338,47512342|47494476,47501491,47512442	+	47494364,47501338,47512342	47494476,47501491,47512442	368	intron,m,m	intron,m,m	CD2AP	cryptic exon	cryptic exon
chr14	58785293	58796920	chr14|58785293,58790197,58796234,58796715|58785413,58790339,58796320,58796920	-	58785293,58790197,58796234,58796715	58785413,58790339,58796320,58796920	557	a,a,a,a	a,a,a,a	ARID4A-AS1	antisense	antisense
chr1	182811680	182812569	chr1|182811680,182812429|182811812,182812569	+	182811680,182812429	182811812,182812569	274	m,m	m,m	DHX9	full match	full match
chr15	86207794	86213061	chr15|86207794,86212953|86207986,86213061	+	86207794,86212953	86207986,86213061	302	m,m	m,m	AKAP13	full match	full match
chr15	56993131	56999504	chr15|56993131,56993371,56996319,56999280,56999461|56993270,56993436,56996465,56999348,56999504	-	56993131,56993371,56996319,56999280,56999461	56993270,56993436,56996465,56999348,56999504	466	m,m,m,m,m	m,m,m,m,m	ZNF280D	full match	full match
chr7	35707044	35712888	chr7|35707044,35709825,35712811|35707198,35709938,35712888	-	35707044,35709825,35712811	35707198,35709938,35712888	347	m,m,m	m,m,m	HERPUD2	full match	full match
chr1	235277083	235285687	chr1|235277083,235280897,235282654,235283133,235285641|235277225,235281019,235282721,235283214,235285687	-	235277083,235280897,235282654,235283133,235285641	235277225,235281019,235282721,235283214,235285687	463	m,intron,m,m,m	m,intron,m,m,m	TOMM20	full match	full match
chr6	49399442	49412467	chr6|49399442,49403169,49407919,49409553,49412352|49399569,49403336,49408066,49409684,49412467	-	49399442,49403169,49407919,49409553,49412352	49399569,49403336,49408066,49409684,49412467	692	inE,m,m,m,m	m,m,m,m,m	MUT	N3SS	NSS
chr16	74493580	74497377	chr16|74493580,74495992,74496386,74497254|74493687,74496093,74496528,74497377	-	74493580,74495992,74496386,74497254	74493687,74496093,74496528,74497377	477	m,m,m,m	m,m,m,m	GLG1	full match	full match
chr7	135261717	135263554	chr7|135261717,135262544,135263499|135261876,135262772,135263554	+	135261717,135262544,135263499	135261876,135262772,135263554	445	m,m,m	m,m,inE	NUP205	N5SS	NSS
chr18	163308	192900	chr18|163308,166787,180236,192842|163453,166819,180339,192900	+	163308,166787,180236,192842	163453,166819,180339,192900	342	m,m,m,m	m,m,m,m	USP14	full match	full match
chr5	133871548	133887899	chr5|133871548,133873679,133887742|133871605,133873773,133887899	+	133871548,133873679,133887742	133871605,133873773,133887899	311	m,m,m	m,m,m	PHF15	full match	full match
chr1	46573965	46597628	chr1|46573965,46576424,46597519|46574090,46576480,46597628	-	46573965,46576424,46597519	46574090,46576480,46597628	293	intron,intron,m	intron,intron,m	PIK3R3	cryptic exon	cryptic exon
chr7	3658712	3681737	chr7|3658712,3678636,3681590|3658871,3678742,3681737	+	3658712,3678636,3681590	3658871,3678742,3681737	415	m,m,m	m,m,m	SDK1	full match	full match
chr7	139060808	139086993	chr7|139060808,139083345,139086883|139060902,139083443,139086993	+	139060808,139083345,139086883	139060902,139083443,139086993	305	m,m,m	m,m,m	C7orf55-LUC7L2	full match	full match
chr17	40174417	40174658	chr17|40174417,40174583|40174490,40174658	+	40174417,40174583	40174490,40174658	150	m,m	m,m	NKIRAS2	full match	full match
chr4	2691305	2692514	chr4|2691305,2692425|2691431,2692514	+	2691305,2692425	2691431,2692514	217	inE,m	m,inE	FAM193A	N5SS,N3SS	NSS
chr1	21083659	21100103	chr1|21083659,21091870,21094077,21097423,21099944|21083749,21092024,21094157,21097566,21100103	-	21083659,21091870,21094077,21097423,21099944	21083749,21092024,21094157,21097566,21100103	631	m,m,m,m,m	m,m,m,m,m	HP1BP3	full match	full match
chr7	91924203	91957214	chr7|91924203,91936673,91948644,91957097|91924480,91936970,91948826,91957214	+	91924203,91936673,91948644,91957097	91924480,91936970,91948826,91957214	877	m,m,m,m	m,m,m,m	ANKIB1	full match	full match
chr3	121215655	121217517	chr3|121215655,121217324|121215779,121217517	-	121215655,121217324	121215779,121217517	319	m,m	m,m	POLQ	full match	full match
chr12	46633462	46637097	chr12|46633462,46636983|46633676,46637097	-	46633462,46636983	46633676,46637097	330	m,m	m,m	SLC38A1	full match	full match
chr21	10959741	10987877	chr21|10959741,10970009,10971292,10973723,10985045,10987769|10959800,10970062,10971345,10973776,10985102,10987877	-	10959741,10970009,10971292,10973723,10985045,10987769	10959800,10970062,10971345,10973776,10985102,10987877	389	m,m,m,m,m,m	m,m,m,m,m,m	TPTE	full match	full match
chrX	47705504	47755339	chrX|47705504,47747398,47755244|47705720,47747524,47755339	+	47705504,47747398,47755244	47705720,47747524,47755339	440	m,m,m	m,m,m	ZNF81	full match	full match
chr15	35192823	35196706	chr15|35192823,35196537|35193064,35196706	-	35192823,35196537	35193064,35196706	412	m,m	m,m	AQR	full match	full match
chr8	124448693	124453737	chr8|124448693,124449450,124450374,124453546|124448841,124449574,124450478,124453737	+	124448693,124449450,124450374,124453546	124448841,124449574,124450478,124453737	571	m,m,m,m	m,m,m,m	WDYHV1	full match	full match
chr1	197144140	197145144	chr1|197144140,197145061|197144245,197145144	-	197144140,197145061	197144245,197145144	190	m,m	m,m	ZBTB41	full match	full match
chr10	4872867	4950612	chr10|4872867,4875542,4877867,4879651,4881921,4883977,4884613,4889340,4915406,4950543|4873034,4875658,4878001,4879773,4882018,4884049,4884696,4889491,4915499,4950612	+	4872867,4875542,4877867,4879651,4881921,4883977,4884613,4889340,4915406,4950543	4873034,4875658,4878001,4879773,4882018,4884049,4884696,4889491,4915499,4950612	1114	m,m,m,m,m,m,m,m,intergenic,m	m,m,m,m,m,m,m,m,intergenic,m	AKR1E2;AKR1C1	read through	read through
chr9	138741983	138758382	chr9|138741983,138742168,138754313,138758302|138742079,138742307,138754454,138758382	-	138741983,138742168,138754313,138758302	138742079,138742307,138754454,138758382	460	m,m,m,m	m,m,m,m	CAMSAP1	full match	full match
chr10	103384502	103436193	chr10|103384502,103427643,103432672,103433245,103436098|103384567,103427737,103432804,103433430,103436193	-	103384502,103427643,103432672,103433245,103436098	103384567,103427737,103432804,103433430,103436193	576	m,m,m,m,m	m,m,m,m,m	FBXW4	full match	full match
chr17	1264386	1273035	chr17|1264386,1265196,1268153,1273003|1264592,1265302,1268352,1273035	-	1264386,1265196,1268153,1273003	1264592,1265302,1268352,1273035	547	m,m,m,m	m,m,m,m	YWHAE	full match	full match
chr1	115006892	115049988	chr1|115006892,115049859|115007010,115049988	-	115006892,115049859	115007010,115049988	249	m,intron	m,intron	TRIM33	cryptic exon	cryptic exon
chr7	29726895	29730644	chr7|29726895,29729766,29730534|29727015,29729859,29730644	+	29726895,29729766,29730534	29727015,29729859,29730644	326	m,m,intron	m,m,intron	AC007276.5	cryptic exon	cryptic exon
chr10	15838099	15889942	chr10|15838099,15875629,15876542,15879203,15880227,15883425,15885211,15889863|15838171,15875708,15876615,15879317,15880278,15883598,15885271,15889942	-	15838099,15875629,15876542,15879203,15880227,15883425,15885211,15889863	15838171,15875708,15876615,15879317,15880278,15883598,15885271,15889942	709	m,m,m,m,m,m,m,m	m,m,m,m,m,m,m,m	FAM188A	full match	full match
chr3	16336363	16345099	chr3|16336363,16343133,16344147,16344915|16336504,16343375,16344255,16345099	+	16336363,16343133,16344147,16344915	16336504,16343375,16344255,16345099	679	m,m,m,m	m,m,m,m	OXNAD1	full match	full match
chr7	156589083	156630026	chr7|156589083,156619299,156626447,156629503,156629904|156589186,156619438,156626486,156629579,156630026	-	156589083,156619299,156626447,156629503,156629904	156589186,156619438,156626486,156629579,156630026	484	m,m,m,m,intron	m,m,m,m,intron	LMBR1	cryptic exon	cryptic exon
chr15	59323003	59359282	chr15|59323003,59344504,59347881,59350555,59358963|59323901,59344630,59348044,59350749,59359282	+	59323003,59344504,59347881,59350555,59358963	59323901,59344630,59348044,59350749,59359282	1705	m,m,m,m,m	m,m,m,m,m	RNF111	full match	full match
chr3	176767785	176771706	chr3|176767785,176768266,176769292,176771561|176767926,176768398,176769514,176771706	-	176767785,176768266,176769292,176771561	176767926,176768398,176769514,176771706	644	m,m,m,m	m,m,m,m	TBL1XR1	full match	full match
chr6	42902213	42903408	chr6|42902213,42903150,42903312|42902336,42903211,42903408	+	42902213,42903150,42903312	42902336,42903211,42903408	283	m,intron,m	m,intron,m	CNPY3	full match	full match
chr3	31617888	31621588	chr3|31617888,31621301|31617996,31621588	+	31617888,31621301	31617996,31621588	397	m,m	m,m	STT3B	full match	full match
chr16	88008654	88017865	chr16|88008654,88014642,88017666|88008791,88014733,88017865	+	88008654,88014642,88017666	88008791,88014733,88017865	430	m,m,m	m,m,m	BANP	full match	full match
chr12	116668238	116675510	chr12|116668238,116669864,116674626,116675273|116668337,116669961,116674695,116675510	-	116668238,116669864,116674626,116675273	116668337,116669961,116674695,116675510	506	intron,intron,intron,m	intron,intron,intron,m	MED13L	cryptic exon	cryptic exon
chr2	215617171	215661841	chr2|215617171,215632206,215633956,215645284,215657021,215661785|215617279,215632378,215634036,215646233,215657169,215661841	-	215617171,215632206,215633956,215645284,215657021,215661785	215617279,215632378,215634036,215646233,215657169,215661841	1519	m,m,m,m,m,m	m,m,m,m,m,m	BARD1	full match	full match
chr15	52186012	52194233	chr15|52186012,52188616,52192352,52194089|52186142,52188723,52192495,52194233	+	52186012,52188616,52192352,52194089	52186142,52188723,52192495,52194233	528	m,m,m,m	m,m,m,m	TMOD3	full match	full match
chr6	137015278	137019820	chr6|137015278,137017089,137018357,137019627|137015448,137017195,137018525,137019820	-	137015278,137017089,137018357,137019627	137015448,137017195,137018525,137019820	641	m,m,m,m	m,m,m,m	MAP3K5	full match	full match
chr14	71880665	71884913	chr14|71880665,71884847|71880731,71884913	+	71880665,71884847	71880731,71884913	134	m,m	m,m	SIPA1L1	full match	full match
chr7	92932772	92940584	chr7|92932772,92935140,92938136,92940478|92932862,92935316,92938254,92940584	+	92932772,92935140,92938136,92940478	92932862,92935316,92938254,92940584	494	m,m,m,m	m,m,m,m	CCDC132	full match	full match
chr10	225934	243945	chr10|225934,243851|226068,243945	+	225934,243851	226068,243945	230	m,m	m,m	ZMYND11	full match	full match
chr20	2944918	2945848	chr20|2944918,2945507|2944996,2945848	+	2944918,2945507	2944996,2945848	421	m,m	m,m	PTPRA	full match	full match
chr9	33953283	33963789	chr9|33953283,33960824,33963724|33953472,33960876,33963789	-	33953283,33960824,33963724	33953472,33960876,33963789	309	m,m,m	m,m,m	UBAP2	full match	full match
chr2	27263850	27264110	chr2|27263850|27264110	+	27263850	27264110	261	inE	inE	TMEM214	N5SS,N3SS	NSS
chr11	85733410	85742653	chr11|85733410,85734459,85737334,85742511|85733512,85734584,85737409,85742653	-	85733410,85734459,85737334,85742511	85733512,85734584,85737409,85742653	448	m,m,m,m	m,m,m,m	PICALM	full match	full match
chr1	41213206	41218918	chr1|41213206,41215245,41218823|41213277,41215358,41218918	+	41213206,41215245,41218823	41213277,41215358,41218918	282	m,m,m	m,m,m	NFYC	full match	full match
chr2	32822818	32836649	chr2|32822818,32824806,32828073,32832522,32836515|32823035,32824967,32828150,32832710,32836649	+	32822818,32824806,32828073,32832522,32836515	32823035,32824967,32828150,32832710,32836649	782	m,m,m,m,m	m,m,m,m,m	BIRC6	full match	full match
chr5	127466759	127471500	chr5|127466759,127469857,127471392|127466898,127469967,127471500	+	127466759,127469857,127471392	127466898,127469967,127471500	360	m,m,m	m,m,m	SLC12A2	full match	full match
chr8	95839491	95841254	chr8|95839491,95839950,95841203|95839631,95840021,95841254	+	95839491,95839950,95841203	95839631,95840021,95841254	265	m,m,m	m,m,m	INTS8	full match	full match
chr7	140055468	140064291	chr7|140055468,140058440,140064208|140055564,140058585,140064291	-	140055468,140058440,140064208	140055564,140058585,140064291	327	m,m,m	m,m,m	SLC37A3	full match	full match
chr17	80417868	80430574	chr17|80417868,80422163,80426640,80430440|80417948,80422306,80426772,80430574	+	80417868,80422163,80426640,80430440	80417948,80422306,80426772,80430574	493	m,m,m,m	m,m,m,m	NARF	full match	full match
chr17	45695716	45696530	chr17|45695716,45696375|45695823,45696530	+	45695716,45696375	45695823,45696530	264	m,m	m,m	NPEPPS	full match	full match
chr5	130134232	130147385	chr5|130134232,130145866,130147269|130134298,130145960,130147385	-	130134232,130145866,130147269	130134298,130145960,130147385	279	intergenic,intergenic,intergenic	intergenic,intergenic,intergenic		intergenic	intergenic
chr4	88973143	88987031	chr4|88973143,88977238,88979135,88983058,88986526,88986914|88973310,88977419,88979255,88983156,88986647,88987031	+	88973143,88977238,88979135,88983058,88986526,88986914	88973310,88977419,88979255,88983156,88986647,88987031	810	m,m,m,m,m,m	m,m,m,m,m,m	PKD2	full match	full match
chr9	123758518	123770776	chr9|123758518,123759825,123768197,123769182,123770686|123758578,123760052,123768336,123769255,123770776	-	123758518,123759825,123768197,123769182,123770686	123758578,123760052,123768336,123769255,123770776	594	m,m,m,m,m	m,m,m,m,m	C5	full match	full match
chr2	227771509	227779067	chr2|227771509,227773538,227778924|227771597,227773594,227779067	+	227771509,227773538,227778924	227771597,227773594,227779067	290	m,m,m	m,m,m	RHBDD1	full match	full match
chr2	9458653	9475308	chr2|9458653,9460417,9463250,9467955,9474867,9475222|9458727,9460466,9463379,9468040,9474942,9475308	+	9458653,9460417,9463250,9467955,9474867,9475222	9458727,9460466,9463379,9468040,9474942,9475308	504	m,m,m,m,m,m	m,m,m,m,m,m	ASAP2	full match	full match
chr4	3132032	3133502	chr4|3132032,3133013,3133365|3132150,3133124,3133502	+	3132032,3133013,3133365	3132150,3133124,3133502	369	m,m,m	m,m,m	HTT	full match	full match
chr9	131235192	131236020	chr9|131235192,131235889|131235321,131236020	+	131235192,131235889	131235321,131236020	262	m,m	m,m	ODF2	full match	full match
chr12	111990084	111993723	chr12|111990084,111990710,111991962,111993687|111990234,111990781,111992021,111993723	-	111990084,111990710,111991962,111993687	111990234,111990781,111992021,111993723	320	m,m,m,m	m,m,m,m	ATXN2	full match	full match
chr6	138817356	138996181	chr6|138817356,138995970|138817508,138996181	-	138817356,138995970	138817508,138996181	365	m,intron	m,intron	NHSL1	cryptic exon	cryptic exon
chr17	49340635	49346265	chr17|49340635,49343543,49345571,49346198|49340747,49343641,49345689,49346265	+	49340635,49343543,49345571,49346198	49340747,49343641,49345689,49346265	399	m,m,intron,m	m,m,intron,m	UTP18	full match	full match
chr4	2951661	2951940	chr4|2951661|2951940	-	2951661	2951940	280	m	m	NOP14	full match	full match
chr8	124031435	124042956	chr8|124031435,124033687,124034924,124037226,124042845|124031545,124033739,124035050,124037290,124042956	-	124031435,124033687,124034924,124037226,124042845	124031545,124033739,124035050,124037290,124042956	468	m,m,m,m,m	m,m,outE,m,m	DERL1	full match	full match
chr18	74561482	74563895	chr18|74561482,74563731|74561624,74563895	+	74561482,74563731	74561624,74563895	308	m,m	m,m	ZNF236	full match	full match
chr13	114149817	114170422	chr13|114149817,114152657,114154273,114156067,114157811,114164553,114170358|114150340,114152836,114154464,114156195,114157903,114164739,114170422	+	114149817,114152657,114154273,114156067,114157811,114164553,114170358	114150340,114152836,114154464,114156195,114157903,114164739,114170422	1370	m,m,m,m,m,m,intron	m,m,m,m,m,m,intron	TMCO3	cryptic exon	cryptic exon
chr4	39739038	39776551	chr4|39739038,39747370,39757274,39776453|39739131,39747425,39757354,39776551	-	39739038,39747370,39757274,39776453	39739131,39747425,39757354,39776551	330	intergenic,intergenic,intergenic,intergenic	intergenic,intergenic,intergenic,intergenic	ZBTB12P1	novel UTR5,UTR3	novel UTR
chr16	249061	270746	chr16|249061,256003,258077,270648|249237,256146,258187,270746	-	249061,256003,258077,270648	249237,256146,258187,270746	531	m,m,m,m	m,m,m,m	LUC7L	full match	full match
chr6	87925621	87928449	chr6|87925621,87926017,87928314|87925775,87926095,87928449	+	87925621,87926017,87928314	87925775,87926095,87928449	370	m,m,m	m,m,m	ZNF292	full match	full match
chr4	148860976	148887990	chr4|148860976,148867768,148876467,148886175,148887831|148861050,148867855,148876525,148886280,148887990	+	148860976,148867768,148876467,148886175,148887831	148861050,148867855,148876525,148886280,148887990	488	m,m,m,m,m	m,m,m,m,m	ARHGAP10	full match	full match
chr17	45560358	45568558	chr17|45560358,45567532,45568381|45560456,45567661,45568558	-	45560358,45567532,45568381	45560456,45567661,45568558	407	m,m,m	m,m,m	MRPL45P2	full match	full match
chr18	21644104	21663045	chr18|21644104,21645976,21649121,21660549,21662877|21644152,21646104,21649235,21660903,21663045	+	21644104,21645976,21649121,21660549,21662877	21644152,21646104,21649235,21660903,21663045	817	m,m,m,m,m	m,m,m,m,m	TTC39C	full match	full match
chr8	66534498	66539668	chr8|66534498,66539451|66534589,66539668	-	66534498,66539451	66534589,66539668	310	m,m	m,m	ARMC1	full match	full match
chr16	18890070	18896988	chr16|18890070,18890817,18893487,18895392,18896412,18896863|18890162,18890937,18893660,18895489,18896484,18896988	-	18890070,18890817,18893487,18895392,18896412,18896863	18890162,18890937,18893660,18895489,18896484,18896988	685	inE,m,m,m,m,m	inE,inE,m,m,m,m	SMG1	N3SS	NSS
chr10	124159859	124177484	chr10|124159859,124166092,124172436,124175375,124177416|124159904,124166189,124172561,124175518,124177484	+	124159859,124166092,124172436,124175375,124177416	124159904,124166189,124172561,124175518,124177484	483	m,m,m,m,m	m,m,m,m,m	PLEKHA1	full match	full match
chr7	122091428	122153369	chr7|122091428,122111429,122114435,122130135,122131366,122153303|122091529,122111616,122114571,122130335,122131474,122153369	-	122091428,122111429,122114435,122130135,122131366,122153303	122091529,122111616,122114571,122130335,122131474,122153369	804	m,m,m,m,m,m	m,m,m,m,m,m	CADPS2	full match	full match
chr3	56697569	56705720	chr3|56697569,56700288,56702425,56703728,56704101,56705628|56697600,56700412,56702586,56703819,56704173,56705720	-	56697569,56700288,56702425,56703728,56704101,56705628	56697600,56700412,56702586,56703819,56704173,56705720	577	m,m,m,m,m,m	m,m,m,m,m,m	FAM208A	full match	full match
chr17	57148184	57168701	chr17|57148184,57152991,57157115,57158458,57161363,57165652,57168661|57148308,57153075,57157238,57158580,57161450,57165768,57168701	-	57148184,57152991,57157115,57158458,57161363,57165652,57168661	57148308,57153075,57157238,57158580,57161450,57165768,57168701	703	m,outE,m,m,m,m,m	m,m,m,m,m,m,m	TRIM37	full match	full match
chr4	54280782	54294350	chr4|54280782,54292039,54294194|54280889,54292132,54294350	+	54280782,54292039,54294194	54280889,54292132,54294350	359	m,m,m	m,m,m	FIP1L1	full match	full match
chr10	27054147	27201103	chr10|27054147,27057781,27059174,27065994,27201030|27054247,27057921,27059274,27066170,27201103	-	27054147,27057781,27059174,27065994,27201030	27054247,27057921,27059274,27066170,27201103	594	m,m,m,m,intergenic	m,m,m,m,intergenic	ABI1	novel UTR5	novel UTR
chr2	110321943	110350696	chr2|110321943,110323340,110325392,110332158,110342703,110343298,110350628|110322111,110323436,110325553,110332344,110342898,110343415,110350696	-	110321943,110323340,110325392,110332158,110342703,110343298,110350628	110322111,110323436,110325553,110332344,110342898,110343415,110350696	998	m,m,m,m,m,m,m	m,m,m,m,m,m,m	SEPT10	full match	full match
chr15	73052748	73067438	chr15|73052748,73067213|73052868,73067438	-	73052748,73067213	73052868,73067438	347	m,m	m,m	ADPGK	full match	full match
chr17	54926057	54933986	chr17|54926057,54926542,54933873|54926214,54926593,54933986	+	54926057,54926542,54933873	54926214,54926593,54933986	324	m,m,m	m,m,m	DGKE	full match	full match
chr12	46633462	46648719	chr12|46633462,46636983,46646350,46648575|46633676,46637253,46646534,46648719	-	46633462,46636983,46646350,46648575	46633676,46637253,46646534,46648719	816	m,m,intron,outE	m,outE,intron,m	SLC38A1	full match	full match
chr12	69119507	69125499	chr12|69119507,69120279,69121131,69124890,69125387|69119576,69120397,69121169,69125040,69125499	+	69119507,69120279,69121131,69124890,69125387	69119576,69120397,69121169,69125040,69125499	492	m,m,m,m,m	m,m,m,m,m	NUP107	full match	full match
chr21	36206707	36231875	chr21|36206707,36231771|36206898,36231875	-	36206707,36231771	36206898,36231875	297	m,m	m,m	RUNX1	full match	full match
chr8	74585332	74652092	chr8|74585332,74600890,74650508,74651999|74585479,74601036,74650584,74652092	+	74585332,74600890,74650508,74651999	74585479,74601036,74650584,74652092	466	intron,intron,intergenic,intergenic	intron,intron,intergenic,intergenic	RP11-463D19.1	novel UTR3	novel UTR
chr6	132181527	132182844	chr6|132181527,132182735|132181646,132182844	+	132181527,132182735	132181646,132182844	230	m,m	m,m	ENPP1	full match	full match
chr18	55278869	55283207	chr18|55278869,55280834,55282873,55283049|55278939,55280912,55282962,55283207	-	55278869,55280834,55282873,55283049	55278939,55280912,55282962,55283207	399	m,m,m,m	m,m,m,m	NARS	full match	full match
chr14	50933301	50952912	chr14|50933301,50935369,50941795,50942846,50942977,50949079,50952296,50952822|50933363,50935500,50941867,50942888,50943024,50949134,50952360,50952912	-	50933301,50935369,50941795,50942846,50942977,50949079,50952296,50952822	50933363,50935500,50941867,50942888,50943024,50949134,50952360,50952912	571	m,m,m,m,m,m,m,m	m,m,m,m,m,m,m,m	MAP4K5	full match	full match
chr17	57990045	57992064	chr17|57990045,57991996|57990165,57992064	+	57990045,57991996	57990165,57992064	190	m,m	m,m	RPS6KB1	full match	full match
chr9	111868788	111870850	chr9|111868788,111870733|111868889,111870850	-	111868788,111870733	111868889,111870850	220	m,m	m,m	TMEM245	full match	full match
chr20	30954187	30956926	chr20|30954187,30956818|30954269,30956926	+	30954187,30956818	30954269,30956926	192	m,m	m,m	ASXL1	full match	full match
chr12	89860547	89866052	chr12|89860547,89861394,89864138,89865391,89865945|89860699,89861462,89864271,89865506,89866052	-	89860547,89861394,89864138,89865391,89865945	89860699,89861462,89864271,89865506,89866052	580	m,m,m,m,m	m,m,m,m,m	POC1B	full match	full match
chr6	149944239	149959696	chr6|149944239,149953895,149959522|149944419,149954052,149959696	-	149944239,149953895,149959522	149944419,149954052,149959696	514	m,m,m	m,m,m	KATNA1	full match	full match
chr3	174951721	175042114	chr3|174951721,174974200,175041964|174951994,174974319,175042114	+	174951721,174974200,175041964	174951994,174974319,175042114	545	m,m,m	m,m,m	NAALADL2	full match	full match
chr11	85718585	85737409	chr11|85718585,85722073,85723324,85725913,85733410,85737334|85718626,85722179,85723435,85726006,85733512,85737409	-	85718585,85722073,85723324,85725913,85733410,85737334	85718626,85722179,85723435,85726006,85733512,85737409	534	m,m,m,m,m,m	m,m,m,m,m,m	PICALM	full match	full match
chr15	83077018	83084405	chr15|83077018,83083331,83084258|83077097,83083534,83084405	+	83077018,83083331,83084258	83077097,83083534,83084405	432	m,m,m	m,m,m	UBE2Q2P3	full match	full match
chr10	98303833	98336586	chr10|98303833,98307652,98311002,98312685,98319416,98321735,98325061,98336391|98303963,98307746,98311168,98312816,98319493,98321895,98325183,98336586	-	98303833,98307652,98311002,98312685,98319416,98321735,98325061,98336391	98303963,98307746,98311168,98312816,98319493,98321895,98325183,98336586	1083	m,m,m,m,m,m,m,m	m,m,m,m,m,m,m,m	TM9SF3	full match	full match
chr12	79527394	79611465	chr12|79527394,79576159,79611283|79527480,79576352,79611465	+	79527394,79576159,79611283	79527480,79576352,79611465	464	intron,intron,m	intron,intron,m	SYT1	cryptic exon	cryptic exon
chr9	70461631	70497102	chr9|70461631,70463031,70465708,70467484,70472572,70473437,70483188,70484375,70486793,70496974|70461714,70463075,70465794,70467530,70472659,70473474,70483279,70484471,70486879,70497102	-	70461631,70463031,70465708,70467484,70472572,70473437,70483188,70484375,70486793,70496974	70461714,70463075,70465794,70467530,70472659,70473474,70483279,70484471,70486879,70497102	794	m,m,m,m,m,m,m,m,m,m	m,m,m,m,m,m,m,m,m,inE	CBWD5	N3SS	NSS
chr10	71853526	71868890	chr10|71853526,71855410,71859964,71868789|71853601,71855509,71860053,71868890	+	71853526,71855410,71859964,71868789	71853601,71855509,71860053,71868890	368	inE,m,m,m	m,m,m,inE	H2AFY2	N5SS,N3SS	NSS
chr3	155481286	155498060	chr3|155481286,155485298,155493490,155495681,155497987|155481707,155485458,155493637,155495774,155498060	-	155481286,155485298,155493490,155495681,155497987	155481707,155485458,155493637,155495774,155498060	899	inE,m,m,intron,intron	m,m,m,intron,intron	C3orf33	cryptic exon	cryptic exon
chr10	91511103	91522592	chr10|91511103,91512324,91514275,91518463,91520283,91522395|91511228,91512448,91514430,91518639,91520393,91522592	+	91511103,91512324,91514275,91518463,91520283,91522395	91511228,91512448,91514430,91518639,91520393,91522592	893	m,m,m,m,m,m	m,m,m,m,m,m	KIF20B	full match	full match
chr9	77631184	77632364	chr9|77631184,77632169|77631347,77632364	-	77631184,77632169	77631347,77632364	360	m,m	m,m	C9orf41	full match	full match
chr17	58571827	58577848	chr17|58571827,58577760|58571978,58577848	-	58571827,58577760	58571978,58577848	241	m,m	m,m	APPBP2	full match	full match
chr2	25830105	25861963	chr2|25830105,25851040,25861883|25830190,25851253,25861963	-	25830105,25851040,25861883	25830190,25851253,25861963	381	m,m,m	m,m,m	DTNB	full match	full match
chr3	137940768	137947852	chr3|137940768,137942231,137942478,137947760|137940839,137942373,137942575,137947852	+	137940768,137942231,137942478,137947760	137940839,137942373,137942575,137947852	406	m,m,m,m	m,m,m,m	ARMC8	full match	full match
chr5	36211946	36227667	chr5|36211946,36217850,36219698,36225644,36226577,36227579|36212024,36217986,36219781,36225725,36226665,36227667	-	36211946,36217850,36219698,36225644,36226577,36227579	36212024,36217986,36219781,36225725,36226665,36227667	560	m,m,m,m,m,m	m,m,m,m,m,m	NADK2	full match	full match
